Entry Date,Entry Time,Exit Date,Exit Time,Net Profit
01/02/2020,900,01/02/2020,1300,-342.7165552408728
01/02/2020,2100,01/03/2020,100,1123.8690355288995
01/03/2020,900,01/03/2020,1300,1921.3360478316267
01/03/2020,2100,01/04/2020,100,-339.8399162139283
01/04/2020,900,01/04/2020,1300,468.93696098653413
01/04/2020,2100,01/05/2020,100,2143.682468109836
01/05/2020,900,01/05/2020,1300,-515.9001029224194
01/05/2020,2100,01/06/2020,100,-352.0167439900733
01/06/2020,900,01/06/2020,1300,-304.3625795816937
01/06/2020,2100,01/07/2020,100,1145.7332820015777
01/07/2020,900,01/07/2020,1300,-229.24426145532516
01/07/2020,2100,01/08/2020,100,-378.3018386698159
01/08/2020,900,01/08/2020,1300,1513.3437281532626
01/08/2020,2100,01/09/2020,100,-898.929770138714
01/09/2020,900,01/09/2020,1300,1132.486977771929
01/09/2020,2100,01/10/2020,100,721.7535713910761
01/10/2020,900,01/10/2020,1300,1343.7110953300862
01/10/2020,2100,01/11/2020,100,411.2527865979331
01/11/2020,900,01/11/2020,1300,1862.4992267859059
01/11/2020,2100,01/12/2020,100,-1223.9145335277576
01/12/2020,900,01/12/2020,1300,-214.34382751598991
01/12/2020,2100,01/13/2020,100,-386.87301199565513
01/13/2020,900,01/13/2020,1300,-455.931088880495
01/13/2020,2100,01/14/2020,100,-471.73446979026477
01/14/2020,900,01/14/2020,1300,1768.9286444401475
01/14/2020,2100,01/15/2020,100,659.8135449187384
01/15/2020,900,01/15/2020,1300,1176.769907081365
01/15/2020,2100,01/16/2020,100,373.2271549957347
01/16/2020,900,01/16/2020,1300,-814.6911858970466
01/16/2020,2100,01/17/2020,100,1587.7930111606638
01/17/2020,900,01/17/2020,1300,1705.0480962248525
01/17/2020,2100,01/18/2020,100,2128.268491624999
01/18/2020,900,01/18/2020,1300,909.0681804624887
01/18/2020,2100,01/19/2020,100,-283.89142697484436
01/19/2020,900,01/19/2020,1300,1182.156041424035
01/19/2020,2100,01/20/2020,100,649.9955822601428
01/20/2020,900,01/20/2020,1300,536.8508601373961
01/20/2020,2100,01/21/2020,100,1193.8393598292741
01/21/2020,900,01/21/2020,1300,-1134.346925964161
01/21/2020,2100,01/22/2020,100,1562.6465898967697
01/22/2020,900,01/22/2020,1300,1120.5886458574284
01/22/2020,2100,01/23/2020,100,1872.088572509891
01/23/2020,900,01/23/2020,1300,-830.0850449345467
