Date,Time,Price,Type,Position,PNL,MAE,MFE
01/02/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/02/2020,1300,98.00,Exit,Long,-332.72,399.26,266.17
01/02/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/03/2020,100,98.00,Exit,Short,1133.87,1360.64,907.10
01/03/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/03/2020,1300,98.00,Exit,Long,1931.34,2317.60,1545.07
01/03/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/04/2020,100,98.00,Exit,Short,-329.84,395.81,263.87
01/04/2020,900,100.00,Entry,Short,0.00,0.00,0.00
01/04/2020,1300,98.00,Exit,Short,478.94,574.72,383.15
01/04/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/05/2020,100,98.00,Exit,Short,2153.68,2584.42,1722.95
01/05/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/05/2020,1300,98.00,Exit,Long,-505.90,607.08,404.72
01/05/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/06/2020,100,98.00,Exit,Short,-342.02,410.42,273.61
01/06/2020,900,100.00,Entry,Short,0.00,0.00,0.00
01/06/2020,1300,98.00,Exit,Short,-294.36,353.24,235.49
01/06/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/07/2020,100,98.00,Exit,Short,1155.73,1386.88,924.59
01/07/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/07/2020,1300,98.00,Exit,Long,-219.24,263.09,175.40
01/07/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/08/2020,100,98.00,Exit,Short,-368.30,441.96,294.64
01/08/2020,900,100.00,Entry,Short,0.00,0.00,0.00
01/08/2020,1300,98.00,Exit,Short,1523.34,1828.01,1218.67
01/08/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
01/09/2020,100,98.00,Exit,Long,-888.93,1066.72,711.14
01/09/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/09/2020,1300,98.00,Exit,Long,1142.49,1370.98,913.99
01/09/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
01/10/2020,100,98.00,Exit,Long,731.75,878.10,585.40
01/10/2020,900,100.00,Entry,Short,0.00,0.00,0.00
01/10/2020,1300,98.00,Exit,Short,1353.71,1624.45,1082.97
01/10/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
01/11/2020,100,98.00,Exit,Long,421.25,505.50,337.00
01/11/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/11/2020,1300,98.00,Exit,Long,1872.50,2247.00,1498.00
01/11/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/12/2020,100,98.00,Exit,Short,-1213.91,1456.70,971.13
01/12/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/12/2020,1300,98.00,Exit,Long,-204.34,245.21,163.48
01/12/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
01/13/2020,100,98.00,Exit,Long,-376.87,452.25,301.50
01/13/2020,900,100.00,Entry,Short,0.00,0.00,0.00
01/13/2020,1300,98.00,Exit,Short,-445.93,535.12,356.74
01/13/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/14/2020,100,98.00,Exit,Short,-461.73,554.08,369.39
01/14/2020,900,100.00,Entry,Short,0.00,0.00,0.00
01/14/2020,1300,98.00,Exit,Short,1778.93,2134.71,1423.14
01/14/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/15/2020,100,98.00,Exit,Short,669.81,803.78,535.85
01/15/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/15/2020,1300,98.00,Exit,Long,1186.77,1424.12,949.42
01/15/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/16/2020,100,98.00,Exit,Short,383.23,459.87,306.58
01/16/2020,900,100.00,Entry,Short,0.00,0.00,0.00
01/16/2020,1300,98.00,Exit,Short,-804.69,965.63,643.75
01/16/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
01/17/2020,100,98.00,Exit,Long,1597.79,1917.35,1278.23
01/17/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/17/2020,1300,98.00,Exit,Long,1715.05,2058.06,1372.04
01/17/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
01/18/2020,100,98.00,Exit,Long,2138.27,2565.92,1710.61
01/18/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/18/2020,1300,98.00,Exit,Long,919.07,1102.88,735.25
01/18/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
01/19/2020,100,98.00,Exit,Long,-273.89,328.67,219.11
01/19/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/19/2020,1300,98.00,Exit,Long,1192.16,1430.59,953.72
01/19/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/20/2020,100,98.00,Exit,Short,660.00,791.99,528.00
01/20/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/20/2020,1300,98.00,Exit,Long,546.85,656.22,437.48
01/20/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/21/2020,100,98.00,Exit,Short,1203.84,1444.61,963.07
01/21/2020,900,100.00,Entry,Short,0.00,0.00,0.00
01/21/2020,1300,98.00,Exit,Short,-1124.35,1349.22,899.48
01/21/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/22/2020,100,98.00,Exit,Short,1572.65,1887.18,1258.12
01/22/2020,900,100.00,Entry,Short,0.00,0.00,0.00
01/22/2020,1300,98.00,Exit,Short,1130.59,1356.71,904.47
01/22/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
01/23/2020,100,98.00,Exit,Long,1882.09,2258.51,1505.67
01/23/2020,900,100.00,Entry,Short,0.00,0.00,0.00
01/23/2020,1300,98.00,Exit,Short,-820.09,984.10,656.07
01/23/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
01/24/2020,100,98.00,Exit,Long,-792.78,951.33,634.22
01/24/2020,900,100.00,Entry,Short,0.00,0.00,0.00
01/24/2020,1300,98.00,Exit,Short,-1221.97,1466.36,977.57
01/24/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
01/25/2020,100,98.00,Exit,Long,-728.50,874.20,582.80
01/25/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/25/2020,1300,98.00,Exit,Long,-631.36,757.63,505.09
01/25/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/26/2020,100,98.00,Exit,Short,847.82,1017.39,678.26
01/26/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/26/2020,1300,98.00,Exit,Long,1596.74,1916.09,1277.39
01/26/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/27/2020,100,98.00,Exit,Short,565.53,678.64,452.42
01/27/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/27/2020,1300,98.00,Exit,Long,679.83,815.79,543.86
01/27/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
01/28/2020,100,98.00,Exit,Long,-671.11,805.33,536.89
01/28/2020,900,100.00,Entry,Short,0.00,0.00,0.00
01/28/2020,1300,98.00,Exit,Short,1795.16,2154.19,1436.13
01/28/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
